Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Yearly Total
2021,4.06,2.33,4.14,5.29,11.63,2.34,5.43,4.20,0.55,2.09,2.36,2.39,46.81
2020,5.50,7.13,5.44,5.45,4.51,3.89,3.68,1.55,6.79,1.35,0.85,6.46,52.60
2019,3.34,2.17,2.44,9.88,9.87,7.12,0.73,1.07,3.60,4.05,0.53,1.13,45.93
2018,2.97,8.94,4.86,3.16,0.80,1.44,2.03,1.77,7.04,8.44,7.46,9.74,58.65
2017,5.58,3.09,2.72,4.39,5.87,5.55,2.86,7.17,0.61,2.11,1.53,7.21,48.69
2016,1.78,2.64,11.38,12.63,5.30,2.22,0.23,9.62,2.40,1.14,3.22,4.12,56.68
2015,6.05,2.71,9.66,6.93,13.99,6.42,0.13,4.81,0.65,7.64,10.05,8.33,77.37
2014,0.52,2.28,3.03,1.57,8.39,2.98,3.99,0.10,0.03*,6.84,3.53,4.13,35.90
2013,1.55,4.62,2.56,1.89,3.20,0.53,2.09,1.99,6.74,9.32,5.77,4.49,44.75
2012,3.81,4.31,5.81,1.76,4.21,2.02,2.92,2.70,7.46,1.33,0.76,3.97,41.06
2011,4.83,2.03,0.47,3.49,2.91,2.24,2.36,0.82,1.26,2.17,3.37,6.8,32.75
2010,2.24,3.41,3.59,0.74,1.11,11.13,7.06,1.09,1.13,3.72,2.10,0.88,38.20
2009,1.41,2.24,6.28,3.44,2.67,1.49,4.25,1.82,6.00,12.81,1.71,4.82,48.94
2008,2.40,3.58,7.86,2.99,8.25,3.58,0,7.00,3.92,4.63,3.20,1.57,48.98
2007,7.95,2.10,2.33,3.02,6.87,6.30,7.88,6.62,0.65,3.01,2.16,2.74,51.63
2006,4.13,3.53,3.76,2.82,1.74,0.84,4.72,0.34,1.60,3.03,3.25,4.77,34.53
2005,3.58,5.15,2.62,1.34,2.64,1.53,4.11,1.93,3.39,1.01,0.65,0.69,28.64
2004,3.40,5.84,4.06,5.75,4.74,6.48,1.34,2.63,1.24,4.44,7.83,2.17,49.92
2003,0.65,7.74,1.17,1.72,1.44,10.49,2.65,1.39,2.26,2.86,1.54,2.42,36.57
2002,2.46,2.64,5.41,3.33,3.83,5.86,3.72,1.53,3.80,3.18,3.04,10.30,49.10
2001,5.34,5.77,6.73,0.44,8.74,8.46,0.45,3.30,5.25,3.03,3.12,6.60,57.23
2000,2.27,1.46,3.6,4.71,7.37,2.39,0.11,0.06,0.81,2.59,11.72,5.04,42.13
1999,6.95,0.25,4.11,5.94,5.6,2.37,3.61,0.21,2.7,1.85,0.23,3.67,37.51
1998,7.12,5.48,,2.06,0.27,1.57,1.28,4.04,11.53,7.44,5.7,4.24,(50.73)*
1997,4.46,8.29,2.94,6,1.23,5.7,2.75,3.2,1.5,7.31,3.97,3.92,51.27
1996,1.51,0.16,1.51,3.53,1.77,1.41,4.4,1.89,5.14,3.22,4.76,3.42,37.32
