Year,State,Geo Level,Crop Type,Season,Fertilizer Type,Amount Used (kg/ha),Total Usage (tons),Yield (tons/ha)
2007,Texas,State,Corn,Spring,Nitrogen,194.9,4656.7,3.46
2007,Texas,State,Corn,Spring,Phosphorus,165.5,1418.0,5.19
2007,Texas,State,Corn,Spring,Potassium,153.2,2301.0,3.8
2007,Texas,State,Corn,Spring,NPK Compound,245.8,2817.4,3.78
2007,Texas,State,Corn,Summer,Nitrogen,197.4,6594.8,3.13
2007,Texas,State,Corn,Summer,Phosphorus,165.3,2148.9,5.9
2007,Texas,State,Corn,Summer,Potassium,111.0,1250.7,2.11
2007,Texas,State,Corn,Summer,NPK Compound,58.9,3033.4,4.57
2007,Texas,State,Corn,Fall,Nitrogen,87.1,7277.0,5.45
2007,Texas,State,Corn,Fall,Phosphorus,106.7,3903.4,2.92
2007,Texas,State,Corn,Fall,Potassium,57.1,3165.6,5.3
2007,Texas,State,Corn,Fall,NPK Compound,77.2,9058.9,2.86
2008,Texas,State,Corn,Spring,Nitrogen,207.2,2250.2,4.97
2008,Texas,State,Corn,Spring,Phosphorus,83.8,2502.8,4.3
2008,Texas,State,Corn,Spring,Potassium,199.8,1191.7,4.04
2008,Texas,State,Corn,Spring,NPK Compound,200.8,2028.7,2.1
2008,Texas,State,Corn,Summer,Nitrogen,248.1,1227.7,2.15
2008,Texas,State,Corn,Summer,Phosphorus,157.9,3920.7,3.73
2008,Texas,State,Corn,Summer,Potassium,137.0,8395.7,2.33
2008,Texas,State,Corn,Summer,NPK Compound,159.6,5310.7,2.89
2008,Texas,State,Corn,Fall,Nitrogen,86.4,5168.1,3.41
2008,Texas,State,Corn,Fall,Phosphorus,168.2,5008.1,2.06
2008,Texas,State,Corn,Fall,Potassium,118.9,8392.9,5.25
2008,Texas,State,Corn,Fall,NPK Compound,168.8,2894.7,2.21
2009,Texas,State,Corn,Spring,Nitrogen,71.4,3141.3,4.56
2009,Texas,State,Corn,Spring,Phosphorus,81.2,1866.7,2.08
2009,Texas,State,Corn,Spring,Potassium,174.9,5129.7,2.62
2009,Texas,State,Corn,Spring,NPK Compound,121.2,3217.8,2.88
2009,Texas,State,Corn,Summer,Nitrogen,62.9,9785.5,5.26
2009,Texas,State,Corn,Summer,Phosphorus,86.5,7531.1,3.12
2009,Texas,State,Corn,Summer,Potassium,228.6,1788.3,2.75
