Year,Month,State,Geo Level,Average_High,Average_Low ,Average_Temp
2003,January,Texas,State,61.7,41.7,51.7
2003,February,Texas,State,67.5,42,54.75
2003,March,Texas,State,67,52.1,59.55
2003,April,Texas,State,78.6,59.6,69.1
2003,May,Texas,State,84.5,66,75.25
2003,June,Texas,State,90.5,70.6,80.55
2003,July,Texas,State,98,73.1,85.55
2003,August,Texas,State,96.5,75.4,85.95
2003,September,Texas,State,87.9,69.1,78.5
2003,October,Texas,State,79.7,63.4,71.55
2003,November,Texas,State,67.6,47.8,57.7
2003,December,Texas,State,60.4,42.4,51.4
2004,January,Texas,State,59.6,37.5,48.55
2004,February,Texas,State,62.8,47.6,55.2
2004,March,Texas,State,72.6,50.1,61.35
2004,April,Texas,State,78.8,58.4,68.6
2004,May,Texas,State,84.2,67.2,75.7
2004,June,Texas,State,92.7,72.6,82.65
2004,July,Texas,State,95.8,76.2,86
2004,August,Texas,State,96,75.3,85.65
2004,September,Texas,State,88.7,67,77.85
2004,October,Texas,State,78.7,64,71.35
2004,November,Texas,State,75.8,48.1,61.95
2004,December,Texas,State,65.3,39.3,52.3
2005,January,Texas,State,57.8,37.5,47.65
2005,February,Texas,State,64.9,42.6,53.75
2005,March,Texas,State,68.2,50.1,59.15
2005,April,Texas,State,79.9,56.1,68
2005,May,Texas,State,82.5,64.7,73.6
2005,June,Texas,State,96.4,70.2,83.3
2005,July,Texas,State,94.6,74.8,84.7
2005,August,Texas,State,97.5,73.4,85.45
2005,September,Texas,State,87.1,68,77.55
2005,October,Texas,State,80,61.2,70.6
2005,November,Texas,State,70.1,49,59.55
2005,December,Texas,State,64,43.6,53.8
2006,January,Texas,State,58.3,37.8,48.05
2006,February,Texas,State,67.1,40.2,53.65
2006,March,Texas,State,73.5,50.4,61.95
2006,April,Texas,State,77.6,55.7,66.65
2006,May,Texas,State,85.9,66,75.95
2006,June,Texas,State,92.9,70.4,81.65
2006,July,Texas,State,98.8,76,87.4
2006,August,Texas,State,95.8,75.7,85.75
2006,September,Texas,State,89.3,70.7,80
2006,October,Texas,State,81.6,58.9,70.25
2006,November,Texas,State,69.2,47.9,58.55
2006,December,Texas,State,60.2,42.2,51.2
2007,January,Texas,State,59.6,40,49.8
2007,February,Texas,State,62.8,44.3,53.55
2007,March,Texas,State,73,49.6,61.3
2007,April,Texas,State,75.8,60.5,68.15
2007,May,Texas,State,85.8,63.6,74.7
2007,June,Texas,State,94.8,74,84.4
2007,July,Texas,State,94.8,75.5,85.15
2007,August,Texas,State,93,76.1,84.55
2007,September,Texas,State,88.3,75,81.65
2007,October,Texas,State,82.7,59.1,70.9
2007,November,Texas,State,68.3,49.8,59.05
2007,December,Texas,State,61,40.6,50.8
2008,January,Texas,State,63.3,39.9,51.6
2008,February,Texas,State,65.7,39.8,52.75
2008,March,Texas,State,73.9,47.9,60.9
2008,April,Texas,State,74.7,53.2,63.95
2008,May,Texas,State,83.1,61.6,72.35
2008,June,Texas,State,90.3,71.7,81
2008,July,Texas,State,92,74.2,83.1
2008,August,Texas,State,96.3,80.1,88.2
2008,September,Texas,State,91.8,72.9,82.35
2008,October,Texas,State,80.7,56.1,68.4
2008,November,Texas,State,67.2,49.2,58.2
2008,December,Texas,State,62.5,42.4,52.45
2009,January,Texas,State,56.8,39.3,48.05
2009,February,Texas,State,66.2,42.2,54.2
2009,March,Texas,State,75.5,53.1,64.3
